station_name,full_price_tickets,reduced_price_tickets,season_tickets,total_entries_exits,interchanges,region,nlc_code,tlc_code
Abbey Wood,3361278,5408864,1884864,10655006,1888592,London,5131,ABW
Aber,104896,4936,27064,136896,0,Wales,3813,ABE
Abercynon,117762,5650,21102,144514,15129,Wales,3801,ACY
Aberdare,167382,13840,57358,238580,0,Wales,3982,ABA
Aberdeen,737260,1459470,91128,2287858,202181,Scotland,8976,ABD
Aberdour,42562,59552,2914,105028,0,Scotland,9090,AUR
Aberdovey,25302,12122,114,37538,0,Wales,4435,AVY
Abererch,1686,620,0,2306,0,Wales,4440,ABH
Abergavenny,171170,173212,58074,402456,0,Wales,3602,AGV
Abergele and Pensarn,42394,46288,6208,94890,0,Wales,2448,AGL
Aberystwyth,119324,155242,1510,276076,2,Wales,4303,AYW
Accrington,119764,294066,59890,473720,0,North West,2552,ACR
Achanalt,414,92,0,506,0,Scotland,8600,AAT
Achnasheen,2222,1490,268,3980,0,Scotland,8601,ACN
Achnashellach,686,318,0,1004,0,Scotland,8602,ACH
Acklington,488,62,0,550,0,North East,7662,ACK
Acle,13210,24192,3932,41334,0,East of England,7286,ACL
Acocks Green,116168,152494,103636,372298,0,West Midlands,4529,ACG
Acton Bridge (Cheshire),25152,19166,364,44682,0,North West,2287,ACB
Acton Central,512462,818870,226696,1558028,0,London,1404,ACC
Acton Main Line,685738,1269402,279376,2234516,0,London,3000,AML
Adderley Park,65094,47562,25462,138118,0,West Midlands,1036,ADD
Addiewell,7950,8766,964,17680,0,Scotland,9310,ADW
Addlestone,133016,148464,49172,330652,0,South East,5550,ASN
Adisham,6990,10120,9634,26744,0,South East,5160,ADM
Adlington (Cheshire),5280,18310,2456,26046,0,North West,2939,ADC
Adlington (Lancashire),34710,88958,19226,142894,0,North West,2641,ADL
Adwick,56108,60662,26168,142938,0,Yorkshire and The Humber,8353,AWK
Aigburth,155902,314370,168132,638404,0,North West,2255,AIG
Ainsdale,176992,596820,173746,947558,0,North West,2350,ANS
Aintree,204630,462630,241702,908962,0,North West,2125,AIN
Airbles,40904,55414,14410,110728,0,Scotland,9695,AIR
Airdrie,275300,385386,113876,774562,0,Scotland,9759,ADR
Albany Park,310616,259456,90832,660904,0,London,5132,AYP
Albrighton,32464,34162,24714,91340,0,West Midlands,4614,ALB
Alderley Edge,113210,85064,41168,239442,0,North West,2760,ALD
Aldermaston,14218,35034,7770,57022,0,South East,3145,AMT
Aldershot,389106,671932,168026,1229064,91915,South East,5623,AHT
Aldrington,46124,72230,21554,139908,0,South East,5280,AGT
Alexandra Palace,536634,872596,186758,1595988,39862,London,6025,AAP
Alexandra Parade,129932,214870,17426,362228,0,Scotland,9905,AXP
Alexandria,54818,87562,34576,176956,0,Scotland,9861,ALX
Alfreton,108220,193562,14414,316196,0,East Midlands,1805,ALF
Allens West,24882,46244,14230,85356,0,North East,7520,ALW
Alloa,159508,307108,29904,496520,0,Scotland,9883,ALO
Alness,17594,2488,846,20928,0,Scotland,8605,ASS
Alnmouth,10904,328222,14128,353254,111,North East,7787,ALM
Alresford (Essex),22574,38126,24864,85564,0,East of England,6847,ALR
Alsager,65248,28146,8026,101420,0,North West,1223,ASG
Althorne (Essex),11250,10554,7510,29314,0,East of England,6869,ALN
Althorpe,1560,1714,20,3294,0,Yorkshire and The Humber,6532,ALP
Altnabreac,206,44,0,250,0,Scotland,8606,ABC
Alton,170262,264088,109708,544058,0,South East,5544,AON
Altrincham,93446,123546,56016,273008,16,North West,2806,ALT
Alvechurch,68312,42378,40352,151042,0,West Midlands,1198,ALV
Ambergate,14406,18308,2208,34922,0,East Midlands,1678,AMB
Amberley,19846,41304,9686,70836,0,South East,5250,AMY
Amersham,723186,973568,70154,1766908,0,South East,506,AMR
Ammanford,9500,6530,32,16062,0,Wales,4236,AMF
Ancaster,3716,828,940,5484,0,East Midlands,6358,ANC
Anderston,156508,167618,44448,368574,0,Scotland,9965,AND
Andover,213796,642382,167532,1023710,4323,South East,5510,ADV
Anerley,324232,524874,95516,944622,0,London,5397,ANZ
Angmering,155296,390132,174524,719952,0,South East,5267,ANG
Annan,19624,107442,974,128040,0,Scotland,9451,ANN
Anniesland,311028,547436,77560,936024,0,Scotland,9972,ANL
Ansdell and Fairhaven,8880,32504,4116,45500,0,North West,2662,AFV
Apperley Bridge,91002,243438,54064,388504,0,Yorkshire and The Humber,8562,APY
Appleby,8244,46172,2096,56512,0,North West,2052,APP
Appledore (Kent),7368,16168,5228,28764,0,South East,5003,APD
Appleford,2658,3232,1416,7306,0,South East,3109,APF
Appley Bridge,38240,63932,26862,129034,0,North West,2396,APB
Apsley,180188,231768,60856,472812,0,East of England,1430,APS
Arbroath,153450,188668,16990,359108,2142,Scotland,9079,ARB
Ardgay,4700,974,0,5674,0,Scotland,8613,ARD
Ardlui,3176,942,0,4118,0,Scotland,9962,AUI
Ardrossan Harbour,61018,46220,214,107452,0,Scotland,9453,ADS
Ardrossan South Beach,55238,103398,13100,171736,314,Scotland,9569,ASB
Ardrossan Town,5512,10988,804,17304,0,Scotland,9455,ADN
Ardwick,218,76,102,396,0,North West,2960,ADK
Argyle Street,346606,835144,88816,1270566,0,Scotland,9961,AGS
Arisaig,3722,2356,0,6078,0,Scotland,8821,ARG
Arlesey,218242,285976,88246,592464,0,East of England,6171,ARL
Armadale (West Lothian),93304,103242,16854,213400,0,Scotland,990,ARM
Armathwaite,1042,9258,1132,11432,0,North West,2054,AWT
Arnside,12960,88520,4806,106286,0,North West,1963,ARN
Arram,318,932,540,1790,0,Yorkshire and The Humber,8045,ARR
Arrochar and Tarbet,16270,4886,530,21686,0,Scotland,9963,ART
Arundel,48380,171890,59618,279888,0,South East,5251,ARU
Ascot (Berks),311694,477810,67842,857346,259813,South East,5666,ACT
Ascott-Under-Wychwood,1046,150,196,1392,0,South East,3003,AUW
Ash,66592,125536,40802,232930,36416,South East,5641,ASH
Ash Vale,113910,154906,59674,328490,91576,South East,5547,AHV
Ashburys,27158,44848,17414,89420,0,North West,2941,ABY
Ashchurch for Tewkesbury,32942,55558,5394,93894,0,South West,4700,ASC
Ashfield,24834,41634,3140,69608,0,Scotland,9953,ASF
Ashford (Surrey),254354,319496,188634,762484,0,South East,5667,AFS
Ashford International,758976,1877420,874442,3510838,861778,South East,5004,AFK
Ashley,2544,4148,1556,8248,0,North West,2850,ASY
Ashtead,313382,444154,176264,933800,0,South East,5347,AHD
Ashton-Under-Lyne,56776,78554,19156,154486,0,North West,2790,AHN
Ashurst (Kent),9944,8278,9200,27422,0,South East,5398,AHS
Ashurst New Forest,22298,62938,16570,101806,0,South East,5906,ANF
Ashwell and Morden,49682,62608,33734,146024,0,East of England,6083,AWM
Askam,20102,36118,7960,64180,0,North West,1953,ASK
Aslockton,11124,9244,2826,23194,0,East Midlands,6233,ALK
Aspatria,6958,17394,3688,28040,0,North West,2095,ASP
Aspley Guise,922,744,1654,3320,0,East of England,1380,APG
Aston,243232,266834,122374,632440,26623,West Midlands,1004,AST
Atherstone,40226,59218,7498,106942,0,West Midlands,1074,ATH
Atherton,64820,107242,32790,204852,0,North West,2584,ATN
Attadale,918,220,206,1344,0,Scotland,8608,ATT
Attenborough,49408,13090,6418,68916,0,East Midlands,1624,ATB
Attleborough,62870,87796,21710,172376,0,East of England,7367,ATL
Auchinleck,24952,35456,1492,61900,0,Scotland,9457,AUK
Audley End,188472,396936,165926,751334,4653,East of England,7017,AUD
Aughton Park,39428,84608,38424,162460,0,North West,2215,AUG
Aviemore,61056,66466,2568,130090,79,Scotland,8610,AVM
Avoncliff,11606,10596,1934,24136,0,South West,3265,AVF
Avonmouth,98222,14620,21696,134538,0,South West,3200,AVN
Axminster,28702,262578,88474,379754,0,South West,5714,AXM
Aylesbury,330340,321360,200910,852610,2470,South East,1492,AYS
Aylesbury Vale Parkway,46738,37828,24328,108894,0,South East,1090,AVP
