station_name,year,full_price_tickets,reduced_price_tickets,season_tickets,interchanges,total_entries_exits,region,forecast_2024-25,growth_absolute,growth_percent
abbey wood,2022-23,2318430,3470332,1329902,0,7118664,London,14191348.0,3536342.0,49.67704614236604
abbey wood,2023-24,3361278,5408864,1884864,1888592,10655006,London,14191348.0,3536342.0,49.67704614236604
aber,2022-23,77490,3548,22938,0,103976,Wales,169816.0,32920.0,31.661152573670847
aber,2023-24,104896,4936,27064,0,136896,Wales,169816.0,32920.0,31.661152573670847
abercynon,2022-23,106686,3854,24340,15581,134880,,154148.0,9634.0,7.142645314353499
abercynon,2023-24,117762,5650,21102,15129,144514,,154148.0,9634.0,7.142645314353499
aberdare,2022-23,161382,10902,54430,0,226714,Wales,250446.0,11866.0,5.233907037059908
aberdare,2023-24,167382,13840,57358,0,238580,Wales,250446.0,11866.0,5.233907037059908
aberdeen,2022-23,487274,1383410,90730,179272,1961414,,2614302.0,326444.0,16.643299170904253
aberdeen,2023-24,737260,1459470,91128,202181,2287858,,2614302.0,326444.0,16.643299170904253
aberdour,2022-23,28576,47162,3214,0,78952,,131104.0,26076.0,33.027662377140544
aberdour,2023-24,42562,59552,2914,0,105028,,131104.0,26076.0,33.027662377140544
aberdovey,2022-23,24642,9566,0,0,34208,Wales,40868.0,3330.0,9.734565014031805
aberdovey,2023-24,25302,12122,114,0,37538,Wales,40868.0,3330.0,9.734565014031805
abererch,2022-23,1564,476,0,0,2040,Wales,2572.0,266.0,13.039215686274511
abererch,2023-24,1686,620,0,0,2306,Wales,2572.0,266.0,13.039215686274511
abergavenny,2022-23,169398,129348,60778,0,359524,,445388.0,42932.0,11.941344666837264
abergavenny,2023-24,171170,173212,58074,0,402456,,445388.0,42932.0,11.941344666837264
abergele and pensarn,2022-23,41230,36848,3904,0,81982,,107798.0,12908.0,15.744919616501182
abergele and pensarn,2023-24,42394,46288,6208,0,94890,,107798.0,12908.0,15.744919616501182
aberystwyth,2022-23,103522,136146,1898,0,241566,,310586.0,34510.0,14.28595083745229
aberystwyth,2023-24,119324,155242,1510,2,276076,,310586.0,34510.0,14.28595083745229
accrington,2022-23,118656,284020,56940,0,459616,,487824.0,14104.0,3.068648611014412
accrington,2023-24,119764,294066,59890,0,473720,,487824.0,14104.0,3.068648611014412
achanalt,2022-23,232,50,0,0,282,Scotland,730.0,224.0,79.43262411347519
achanalt,2023-24,414,92,0,0,506,Scotland,730.0,224.0,79.43262411347519
achnasheen,2022-23,1992,1246,64,0,3302,,4658.0,678.0,20.533010296789826
achnasheen,2023-24,2222,1490,268,0,3980,,4658.0,678.0,20.533010296789826
achnashellach,2022-23,430,322,0,0,752,Scotland,1256.0,252.0,33.51063829787234
achnashellach,2023-24,686,318,0,0,1004,Scotland,1256.0,252.0,33.51063829787234
acklington,2022-23,346,88,0,0,434,North East,666.0,116.0,26.72811059907834
acklington,2023-24,488,62,0,0,550,North East,666.0,116.0,26.72811059907834
acle,2022-23,12910,24112,3650,0,40672,,41996.0,662.0,1.6276553894571204
acle,2023-24,13210,24192,3932,0,41334,,41996.0,662.0,1.6276553894571204
acocks green,2022-23,99164,127648,78094,0,304906,,439690.0,67392.0,22.102549638249165
acocks green,2023-24,116168,152494,103636,0,372298,,439690.0,67392.0,22.102549638249165
acton bridge (cheshire),2022-23,17686,12724,2630,0,33040,,56324.0,11642.0,35.2360774818402
acton bridge (cheshire),2023-24,25152,19166,364,0,44682,,56324.0,11642.0,35.2360774818402
acton central,2022-23,514242,748324,236470,0,1499036,,1617020.0,58992.0,3.9353291048380425
acton central,2023-24,512462,818870,226696,0,1558028,,1617020.0,58992.0,3.9353291048380425
acton main line,2022-23,340190,602452,157062,0,1099704,,3369328.0,1134812.0,103.19249543513527
acton main line,2023-24,685738,1269402,279376,0,2234516,,3369328.0,1134812.0,103.19249543513527
adderley park,2022-23,59056,37140,23850,0,120046,,156190.0,18072.0,15.054229212135347
adderley park,2023-24,65094,47562,25462,0,138118,,156190.0,18072.0,15.054229212135347
addiewell,2022-23,6648,6894,1024,0,14566,,20794.0,3114.0,21.378552794178223
addiewell,2023-24,7950,8766,964,0,17680,,20794.0,3114.0,21.378552794178223
addlestone,2022-23,108918,111918,50848,0,271684,,389620.0,58968.0,21.704627434813975
addlestone,2023-24,133016,148464,49172,0,330652,,389620.0,58968.0,21.704627434813975
adisham,2022-23,6356,9290,7824,0,23470,,30018.0,3274.0,13.949723050703025
adisham,2023-24,6990,10120,9634,0,26744,,30018.0,3274.0,13.949723050703025
adlington (cheshire),2022-23,7118,10274,1390,0,18782,,33310.0,7264.0,38.67532744116707
adlington (cheshire),2023-24,5280,18310,2456,0,26046,,33310.0,7264.0,38.67532744116707
adlington (lancashire),2022-23,30058,62794,12188,0,105040,,180748.0,37854.0,36.03769992383854
adlington (lancashire),2023-24,34710,88958,19226,0,142894,,180748.0,37854.0,36.03769992383854
adwick,2022-23,51206,51822,18176,0,121204,,164672.0,21734.0,17.93175142734563
adwick,2023-24,56108,60662,26168,0,142938,,164672.0,21734.0,17.93175142734563
aigburth,2022-23,135174,286910,144934,0,567018,,709790.0,71386.0,12.589723783019233
aigburth,2023-24,155902,314370,168132,0,638404,,709790.0,71386.0,12.589723783019233
ainsdale,2022-23,171718,580394,168514,0,920626,,974490.0,26932.0,2.925400759917708
ainsdale,2023-24,176992,596820,173746,0,947558,,974490.0,26932.0,2.925400759917708
aintree,2022-23,189054,440238,212370,0,841662,,976262.0,67300.0,7.996083938683224
aintree,2023-24,204630,462630,241702,0,908962,,976262.0,67300.0,7.996083938683224
airbles,2022-23,27468,40642,11390,0,79500,,141956.0,31228.0,39.28050314465409
airbles,2023-24,40904,55414,14410,0,110728,,141956.0,31228.0,39.28050314465409
airdrie,2022-23,196716,341584,94498,0,632798,,916326.0,141764.0,22.402725672331457
airdrie,2023-24,275300,385386,113876,0,774562,,916326.0,141764.0,22.402725672331457
albany park,2022-23,286128,253588,82774,0,622490,,699318.0,38414.0,6.171022827675947
albany park,2023-24,310616,259456,90832,0,660904,,699318.0,38414.0,6.171022827675947
albrighton,2022-23,27064,27812,14680,0,69556,,113124.0,21784.0,31.318649721088043
albrighton,2023-24,32464,34162,24714,0,91340,,113124.0,21784.0,31.318649721088043
alderley edge,2022-23,105456,77540,43696,0,226692,,252192.0,12750.0,5.624371393785401
alderley edge,2023-24,113210,85064,41168,0,239442,,252192.0,12750.0,5.624371393785401
aldermaston,2022-23,12038,30466,8098,0,50602,,63442.0,6420.0,12.687245563416466
aldermaston,2023-24,14218,35034,7770,0,57022,,63442.0,6420.0,12.687245563416466
aldershot,2022-23,346468,589196,157812,79583,1093476,,1364652.0,135588.0,12.399723450720455
aldershot,2023-24,389106,671932,168026,91915,1229064,,1364652.0,135588.0,12.399723450720455
aldrington,2022-23,44632,63252,19926,0,127810,,152006.0,12098.0,9.465613019325561
aldrington,2023-24,46124,72230,21554,0,139908,,152006.0,12098.0,9.465613019325561
alexandra palace,2022-23,470546,709888,159616,43873,1340050,,1851926.0,255938.0,19.099138091862244
alexandra palace,2023-24,536634,872596,186758,39862,1595988,,1851926.0,255938.0,19.099138091862244
alexandra parade,2022-23,83590,165438,14686,0,263714,,460742.0,98514.0,37.356378500951784
alexandra parade,2023-24,129932,214870,17426,0,362228,,460742.0,98514.0,37.356378500951784
alexandria,2022-23,43810,78782,25748,0,148340,,205572.0,28616.0,19.29081839018471
alexandria,2023-24,54818,87562,34576,0,176956,,205572.0,28616.0,19.29081839018471
alfreton,2022-23,94974,184888,9976,0,289838,,342554.0,26358.0,9.094045639288154
alfreton,2023-24,108220,193562,14414,0,316196,,342554.0,26358.0,9.094045639288154
allens west,2022-23,23140,34918,15108,0,73166,,97546.0,12190.0,16.660744061449307
